,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,11806,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19785712.0,19785712.0,False,,1,,,,2024-11-22T04:24:00.000Z,98973.79005584664,101468429268.0081,25.5723,-0.07275073,2.42974066,12.97072041,47.63867392,54.41141913,54.72839225,1958266905593.4456,59.3911,2078449591172.78,,2024-11-22T04:24:00.000Z,,,,,,2024-11-21 23:25:05.011817
1,1027,Ethereum,ETH,ethereum,9580,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'layer-1', 'ftx-bankruptcy-estate']",,120428391.07998496,120428391.07998496,True,,2,,,,2024-11-22T04:24:00.000Z,3396.7457885060985,52166970371.073524,66.294,1.47432536,9.67211989,11.33025883,30.04472496,26.93737546,23.61002458,409064630217.50433,12.4063,409064630217.5,,2024-11-22T04:24:00.000Z,,,,,,2024-11-21 23:25:05.011817
2,825,Tether USDt,USDT,tether,104679,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,130718783155.73712,131944368177.92067,True,,3,,,,2024-11-22T04:24:00.000Z,1.0009993796078636,198154851983.9851,32.9772,0.0242224,0.05222128,0.05992166,0.17637218,0.06869969,0.03619622,130849420841.9877,3.9691,132076230688.85,,2024-11-22T04:24:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-11-21 23:25:05.011817
3,5426,Solana,SOL,solana,793,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,474698955.0048034,588791338.6582927,True,,4,,,,2024-11-22T04:24:00.000Z,262.2796958015544,11310153337.497139,73.3474,-0.19028718,11.04007636,26.6279041,58.74861453,78.07797012,71.02439565,124503897515.9756,3.7702,154428013193.89,,2024-11-22T04:24:00.000Z,,,,,,2024-11-21 23:25:05.011817
4,1839,BNB,BNB,bnb,2286,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,144010586.61,144010586.61,False,,5,,,,2024-11-22T04:24:00.000Z,634.0980461853075,2840348947.1537037,26.8796,-0.23814783,5.24551272,2.43110506,7.61234373,6.62108288,9.50529156,91316831599.401,2.7653,91316831599.4,,2024-11-22T04:24:00.000Z,,,,,,2024-11-21 23:25:05.011817
5,52,XRP,XRP,xrp,1433,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,56931242174.0,99987013354.0,False,,6,,,,2024-11-22T04:24:00.000Z,1.414796988255906,15904603988.962458,145.6648,3.585011,29.83724712,71.77286983,166.49064742,138.58041465,132.58202823,80546149965.44281,2.4391,141479698825.59,,2024-11-22T04:24:00.000Z,,,,,,2024-11-21 23:25:05.011817
6,74,Dogecoin,DOGE,dogecoin,1105,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,146891846383.70523,146891846383.70523,True,,7,,,,2024-11-22T04:24:00.000Z,0.3953659533186393,8758608515.83329,8.1776,-0.31126619,4.77601565,8.57970393,186.48575708,266.06279934,251.24513226,58076034880.22874,1.7614,58076034880.23,,2024-11-22T04:24:00.000Z,,,,,,2024-11-21 23:25:05.011817
7,3408,USDC,USDC,usd-coin,23266,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'solana-ecosystem', 'hedera-hashgraph-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'base-ecosystem', 'fiat-stablecoin']",,38296748101.74948,38296748101.74948,False,,8,,,,2024-11-22T04:24:00.000Z,0.9999098462849413,14700395154.459167,27.2237,0.01553926,0.00913883,-0.01541916,-0.00381562,-0.02136655,-0.00465658,38293295507.63344,1.1614,38293295507.63,,2024-11-22T04:24:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-11-21 23:25:05.011817
8,2010,Cardano,ADA,cardano,1358,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35052930435.62651,44994880168.24164,False,,9,,,,2024-11-22T04:24:00.000Z,0.8910224506685489,3213768524.0400996,-12.1471,2.21182987,14.6787661,50.08077491,145.86155668,149.980928,127.87311227,31232947979.8661,0.9458,40096010280.08,,2024-11-22T04:24:00.000Z,,,,,,2024-11-21 23:25:05.011817
9,1958,TRON,TRX,tron,1072,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,86352765319.62715,86352797943.52693,True,,10,,,,2024-11-22T04:24:00.000Z,0.2009430559704288,898644990.1497445,15.2789,-0.05004189,2.65131529,12.7032751,25.35926207,32.4571377,24.39377004,17351988554.823143,0.5263,17351995110.37,,2024-11-22T04:24:00.000Z,,,,,,2024-11-21 23:25:05.011817
10,5805,Avalanche,AVAX,avalanche,805,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'real-world-assets', 'layer-1']",715748719.0,409106234.0185676,447442534.0185676,False,,11,,,,2024-11-22T04:24:00.000Z,36.34079531263045,961782187.2953293,22.2627,-0.91377398,9.3553624,16.1258048,33.20499723,31.05226203,37.91208015,14867245911.589857,0.4502,26010877692.46,,2024-11-22T04:24:00.000Z,,,,,,2024-11-21 23:25:05.011817
